1  0  0.85  7.6  2
2  1  1.06  8  2
3  1  1.19  5.7  2
4  1  1  2.5  4
5  1  1.56  22.4  3
6  1  1.2  9.5  2
7  0  0.81  1.7  4
8  0  0.85  4.1  4
9  1  1.35  18.9  3
10  1  1.12  12.9  3
11  0  0.82  2.8  2
12  1  1.07  11  2
13  1  0.85  12  3
14  0  0.74  16.5  4
15  0  0.96  2  4
16  0  0.8  4.6  5
17  1  0.93  5.8  3
18  1  1.15  11.3  5
19  0  0.94  9.2  3
20  0  0.83  9  7
21  0  1.02  8.1  4
22  1  1.09  3.5  2
23  1  0.87  14.8  3
24  0  0.87  2.2  4
25  1  1.52  6.4  3
26  1  1.11  13.8  3
27  1  1.23  6  3
28  1  1.24  18.8  4
29  0  0.83  3.1  4
30  0  1  3.8  2
31  1  0.89  23.9  3
32  1  1.21  16.1  3
33  0  0.96  3.5  4
34  0  0.56  2.7  7
35  1  1  5.8  2
36  1  1.2  6.7  3
37  0  1.21  12.1  4
38  0  0.98  5.8  3
39  1  1.16  8.4  4
40  0  0.86  2.2  5
41  0  0.76  1.7  7
42  0  0.56  0.4  10
43  0  0.83  2  6
44  0  0.79  3  8
45  0  0.8  1.9  9
46  0  0.53  4.3  14
47  0  0.81  4.1  10
48  0  0.62  1.1  5
49  0  0.87  0.6  6
50  0  0.7  1.1  12
51  0  0.85  2.1  5
52  0  0.59  0.2  15
53  0  0.86  4.9  9
54  0  1.03  5.2  4
55  0  1.02  4.3  4
56  0  0.83  1.6  6
57  0  0.56  13.8  5
58  0  0.81  0.8  12
59  0  0.84  3.2  7
60  0  0.88  0.4  8
61  0  0.67  0.2  5
62  0  0.85  0.1  11
63  0  0.81  1.3  8
64  1  0.84  6.2  5
65  0  0.82  0.2  8
66  0  0.91  3.4  11
67  0  0.84  0.7  7
68  0  0.98  0.4  12
69  0  0.86  1.7  10
70  0  0.96  4.8  11
71  0  1  3.2  8
72  0  0.93  1.1  5
73  0  0.98  2  8
74  0  1.01  0.7  5
75  0  0.92  1.6  7
76  0  0.75  5.5  3
77  0  0.57  0.9  8
78  0  0.77  1.5  7
79  0  0.98  6.7  12
80  0  0.91  0.9  13
81  0  0.87  2.4  6
82  0  0.87  1.6  13
83  0  1.06  1.1  4
84  0  1.04  2.3  5
85  0  0.81  2.5  7
86  0  0.97  1.3  9
87  0  0.85  0.3  4
88  0  0.92  2.7  6
89  0  0.8  3.5  7
90  0  0.74  2.4  8
91  0  1.16  4  2
92  0  0.93  1.4  4
93  1  1.03  1  3
94  0  1.05  4  8
95  0  0.93  1  7
96  0  0.95  0.1  11
97  0  1.03  1.2  8
98  0  1  1.6  8
99  0  0.99  2.9  7
100  0  1.08  0.9  7
101  0  0.82  1.7  7
102  0  0.86  3.9  5
103  0  0.92  2.9  9
104  0  0.99  1.4  10
105  0  0.91  5.8  3
106  0  1.04  1.8  7
107  1  1.34  12.4  2
108  0  0.97  3  4
109  0  0.93  2.2  5
110  0  0.75  2.3  5
111  0  0.92  0.9  5
112  0  0.91  1  4
113  0  0.81  0.6  7
114  0  1.04  7.7  2
115  0  0.86  1  9
116  0  1.02  4.8  7
117  0  0.92  5.4  5
118  0  0.66  4.4  3
119  0  0.78  0.3  8
120  0  0.91  1.4  5
121  1  1.18  6  2
122  0  0.99  2.4  7
123  0  0.75  2.5  4
124  0  0.95  0.7  6
125  0  0.79  0.8  4
126  0  1.24  5.4  3
127  0  0.92  2  4
128  0  1.17  4.9  3
129  0  0.94  3.2  4
130  0  0.96  0.6  8
131  0  0.87  1.6  3
132  0  0.71  5.8  3
133  0  0.64  0.3  13
134  0  0.89  0.4  7
135  0  0.95  2.5  3
136  0  0.86  3.9  3
137  0  0.89  1.4  7
138  0  1.04  1.8  5
139  0  0.82  1.4  9
140  0  0.77  0  4
141  0  1.29  4.9  4
142  0  0.89  1.8  5
143  0  0.79  1.1  7
144  0  0.87  1.4  5
145  0  0.73  3.1  7
146  0  1.01  2.6  8
147  0  0.76  1.7  4
148  0  0.74  1.5  4
149  0  1.13  7.2  3
150  0  0.85  5.8  3
151  0  0.9  1.1  3
152  0  0.77  2.6  3
153  0  1.06  0.9  7
154  0  0.97  1.3  7
155  0  1.05  0  6
156  1  1.25  4.3  4
157  0  0.87  4.1  3
158  0  0.82  3  2
159  0  0.95  3.9  8
160  0  0.8  1  2
161  1  1.02  5.3  3
162  0  1.17  2.1  6
163  0  1.06  0.7  8
164  0  0.97  0.4  7
165  0  1.05  3  5
166  0  0.79  6.2  5
167  1  1.06  3.7  3
168  1  0.96  5  4
169  0  0.92  2.4  3
170  1  1.01  3.8  2
171  1  1.16  4.6  2
172  0  0.88  3.5  3
173  0  1  3.5  6
174  0  0.94  5.4  3
175  0  0.79  2.3  5
176  1  0.9  5.6  2
177  1  0.95  2.8  2
178  0  0.98  0.4  8
179  0  0.99  1.3  5
180  0  0.99  7.7  3
181  0  1.11  0  7
182  0  1.04  4.5  5
183  0  1.09  5.6  3
184  0  1.11  5.5  6
185  1  1.33  4.8  3
186  1  1.34  2.9  5
187  0  0.93  4  3
188  0  1.08  5.3  5
189  1  1.2  4.6  2
190  0  1.04  3.1  3
191  0  1.12  8.1  3
192  1  1.18  6.1  4
193  0  1  3.6  4
194  0  1.03  2.7  5
195  1  1.17  12.1  3
196  1  1.11  7.2  2
197  1  1.3  4.1  3
198  1  1.26  7.5  3
199  0  1.35  5.6  2
200  1  1.11  8.6  2
201  1  1.12  4.9  3
202  0  0.97  0.9  6
203  0  1.1  4  3
204  1  0.97  5.6  3
205  0  0.92  7.1  5
206  0  1.02  1.2  9
207  0  0.87  2.1  2
208  1  1.04  3.5  3
209  0  0.91  5.7  4
210  1  1.35  24.7  4
211  1  1.18  7.5  3
212  1  1.33  10.1  2
213  0  1.3  9.1  4
214  0  0.93  8.1  3
215  0  0.88  6.1  3
216  0  0.97  21.4  3
217  0  0.98  2.3  8
218  0  0.87  0.7  3
219  0  0.91  16.9  4
220  0  0.88  3.3  3
221  0  0.91  3.9  4
222  1  1.04  15.5  2
223  1  1.01  3  5
224  1  0.87  3  4
225  1  1.22  4.9  3
